Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,Sudeste,SP,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,MG,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,SP,2023,0.0,0.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8831.0,7790.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,ES,2023,0.0,0.0,10925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11144.0,0.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Nordeste,BA,2023,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3980.0,0.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Sul,SC,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11800.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,Sudeste,MG,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0
Agrotóxico,Acaricida,"SAVEY, 500 G/KG, HEXITIAZOXI, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, PM","30,00 G",Sudeste,SP,2023,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Sul,SC,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17320.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Norte,RO,2024,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0
Agrotóxico,Acaricida,ENVIDOR,L,Sudeste,SP,2024,0.0,0.0,28750.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Sudeste,SP,2024,0.0,0.0,19975.0,0.0,0.0,0.0,0.0,0.0,0.0,20508.0,0.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Sul,SC,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35375.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Centro-Oeste,GO,2024,0.0,0.0,21200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,Sudeste,SP,2024,0.0,0.0,2105.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0
Agrotóxico,Acaricida,"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,Sudeste,SP,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13800.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,Sul,SC,2024,0.0,0.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,MG,2024,0.0,0.0,8540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,SP,2024,0.0,0.0,7694.0,0.0,0.0,0.0,0.0,0.0,0.0,9715.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,ES,2024,0.0,0.0,9700.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,0.0,0.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Nordeste,BA,2024,0.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,0.0,0.0
Agrotóxico,Acaricida,"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,Sudeste,MG,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0
Agrotóxico,Acaricida,"SAVEY, 500 G/KG, HEXITIAZOXI, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, PM","30,00 G",Sudeste,SP,2024,0.0,0.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,6576.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,GO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,PR,2020,0.0,0.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,SC,2021,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,0.0
