Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
"VERTIMEC, 18 CE",L,GO,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","92,00","40,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RS,2021,"0,00","0,00","122,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","92,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SP,2022,"0,00","0,00","0,00","0,00","0,00","0,00","35,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RS,2022,"0,00","0,00","161,00","0,00","0,00","0,00","0,00","0,00","172,00","0,00","130,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RJ,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","140,16","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,MG,2022,"250,00","250,00","150,00","155,00","155,00","155,00","230,00","230,00","167,50","200,00","150,00","125,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,GO,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SC,2022,"0,00","0,00","113,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","116,25","0,00",Agrotóxico,Acaricida
"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,GO,2023,"0,00","0,00","2.010,00","2.010,00","0,00","0,00","0,00","0,00","0,00","0,00","2.010,00","0,00",Agrotóxico,Acaricida
VERTIMEC,L,BA,2023,"0,00","0,00","75,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","78,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,DF,2023,"155,70","155,00","140,00","140,00","140,00","140,00","153,00","153,00","110,00","110,00","40,00","40,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SC,2023,"0,00","0,00","129,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","103,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RS,2023,"118,00","0,00","130,00","0,00","0,00","0,00","0,00","0,00","150,50","0,00","115,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RJ,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","162,84","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,MG,2023,"125,00","127,00","125,00","125,00","125,00","95,00","100,00","109,00","120,00","120,00","110,00","110,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,GO,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SP,2023,"0,00","0,00","74,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","77,99","21,83",Agrotóxico,Acaricida
"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,GO,2024,"0,00","0,00","2.015,00","0,00","0,00","0,00","0,00","0,00","0,00","1.050,00","1.100,00","0,00",Agrotóxico,Acaricida
VERTIMEC,L,BA,2024,"0,00","0,00","75,00","0,00","0,00","0,00","0,00","0,00","0,00","125,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SP,2024,"0,00","0,00","115,03","0,00","0,00","0,00","0,00","0,00","0,00","132,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,RS,2024,"0,00","0,00","118,00","0,00","0,00","0,00","0,00","0,00","138,00","0,00","0,00","0,00",Agrotóxico,Acaricida
